SKU;STOCK;TIMESTAMP
01000200101;3123;2014-03-19 12:34:29
01000200102;8019;2014-03-19 12:34:29
01000200103;11883;2014-03-19 12:34:29
01000200104;9539;2014-03-19 12:34:29
01000200105;3737;2014-03-19 12:34:29
01000200113;810;2014-03-19 12:34:29
01000200201;7238;2014-03-19 12:34:29
01000200202;16281;2014-03-19 12:34:29
01000200203;21133;2014-03-19 12:34:29
01000200204;16377;2014-03-19 12:34:29
01000200205;6446;2014-03-19 12:34:29
01000200213;540;2014-03-19 12:34:29
01000200301;1660;2014-03-19 12:34:29
01000200302;3045;2014-03-19 12:34:29
01000200303;3867;2014-03-19 12:34:29
01000200304;3279;2014-03-19 12:34:29
01000200305;1424;2014-03-19 12:34:29
01000200313;291;2014-03-19 12:34:29
01000200401;1067;2014-03-19 12:34:29
01000200402;2398;2014-03-19 12:34:29
01000200403;3129;2014-03-19 12:34:29
01000200404;2459;2014-03-19 12:34:29
01000200405;885;2014-03-19 12:34:29
01000200413;441;2014-03-19 12:34:29
01000210001;48;2014-03-19 12:34:29
01000210002;129;2014-03-19 12:34:29
01000210003;94;2014-03-19 12:34:29
01000210004;36;2014-03-19 12:34:29
01000210005;27;2014-03-19 12:34:29
01000212001;115;2014-03-19 12:34:29
01000212002;170;2014-03-19 12:34:29
01000212003;235;2014-03-19 12:34:29
01000212004;71;2014-03-19 12:34:29
01000212005;53;2014-03-19 12:34:29
01000215001;107;2014-03-19 12:34:29
01000215002;143;2014-03-19 12:34:29
01000215003;0;2014-03-19 12:34:29
01000215004;37;2014-03-19 12:34:29
01000215005;0;2014-03-19 12:34:29
01000220001;68;2014-03-19 12:34:29
01000220002;195;2014-03-19 12:34:29
01000220003;165;2014-03-19 12:34:29
01000220004;222;2014-03-19 12:34:29
01000220005;66;2014-03-19 12:34:29
01000221001;301;2014-03-19 12:34:29
01000221002;595;2014-03-19 12:34:29
01000221003;738;2014-03-19 12:34:29
01000221004;651;2014-03-19 12:34:29
01000221005;266;2014-03-19 12:34:29
01000221013;113;2014-03-19 12:34:29
01000222001;161;2014-03-19 12:34:29
01000222002;206;2014-03-19 12:34:29
01000222003;207;2014-03-19 12:34:29
01000222004;172;2014-03-19 12:34:29
01000222005;153;2014-03-19 12:34:29
01000223501;525;2014-03-19 12:34:29
01000223502;757;2014-03-19 12:34:29
01000223503;1047;2014-03-19 12:34:29
01000223504;825;2014-03-19 12:34:29
01000223505;320;2014-03-19 12:34:29
01000223513;57;2014-03-19 12:34:29
01000231001;0;2014-03-19 12:34:29
01000231002;100;2014-03-19 12:34:29
01000231003;41;2014-03-19 12:34:29
01000231004;113;2014-03-19 12:34:29
01000231005;157;2014-03-19 12:34:29
01000235001;79;2014-03-19 12:34:29
01000235002;264;2014-03-19 12:34:29
01000235003;312;2014-03-19 12:34:29
01000235004;212;2014-03-19 12:34:29
01000235005;18;2014-03-19 12:34:29
01000237001;0;2014-03-19 12:34:29
01000237002;161;2014-03-19 12:34:29
01000237003;59;2014-03-19 12:34:29
01000237004;132;2014-03-19 12:34:29
01000237005;50;2014-03-19 12:34:29
01000237101;159;2014-03-19 12:34:29
01000237102;206;2014-03-19 12:34:29
01000237103;277;2014-03-19 12:34:29
01000237104;86;2014-03-19 12:34:29
01000237105;128;2014-03-19 12:34:29
01000241001;309;2014-03-19 12:34:29
01000241002;492;2014-03-19 12:34:29
01000241003;694;2014-03-19 12:34:29
01000241004;1097;2014-03-19 12:34:29
01000241005;426;2014-03-19 12:34:29
01000243001;296;2014-03-19 12:34:29
01000243002;351;2014-03-19 12:34:29
01000243003;489;2014-03-19 12:34:29
01000243004;538;2014-03-19 12:34:29
01000243005;220;2014-03-19 12:34:29
01000244001;108;2014-03-19 12:34:29
01000244002;141;2014-03-19 12:34:29
01000244003;214;2014-03-19 12:34:29
01000244004;150;2014-03-19 12:34:29
01000244005;38;2014-03-19 12:34:29
01000244101;179;2014-03-19 12:34:29
01000244102;594;2014-03-19 12:34:29
01000244103;1000;2014-03-19 12:34:29
01000244104;1160;2014-03-19 12:34:29
01000244105;442;2014-03-19 12:34:29
01000244501;57;2014-03-19 12:34:29
01000244502;191;2014-03-19 12:34:29
01000244503;78;2014-03-19 12:34:29
01000244504;0;2014-03-19 12:34:29
01000244505;0;2014-03-19 12:34:29
01000245001;738;2014-03-19 12:34:29
01000245002;1997;2014-03-19 12:34:29
01000245003;2638;2014-03-19 12:34:29
01000245004;2083;2014-03-19 12:34:29
01000245005;871;2014-03-19 12:34:29
01000245013;197;2014-03-19 12:34:29
01000247001;1;2014-03-19 12:34:29
01000247002;2;2014-03-19 12:34:29
01000247003;1;2014-03-19 12:34:29
01000247004;4;2014-03-19 12:34:29
01000247005;29;2014-03-19 12:34:29
01000248001;105;2014-03-19 12:34:29
01000248002;180;2014-03-19 12:34:29
01000248003;332;2014-03-19 12:34:29
01000248004;273;2014-03-19 12:34:29
01000248005;132;2014-03-19 12:34:29
01000250801;23;2014-03-19 12:34:29
01000250802;80;2014-03-19 12:34:29
01000250803;57;2014-03-19 12:34:29
01000250804;80;2014-03-19 12:34:29
01000250805;18;2014-03-19 12:34:29
01000251001;95;2014-03-19 12:34:29
01000251002;172;2014-03-19 12:34:29
01000251003;247;2014-03-19 12:34:29
01000251004;149;2014-03-19 12:34:29
01000251005;68;2014-03-19 12:34:29
01000252001;379;2014-03-19 12:34:29
01000252002;663;2014-03-19 12:34:29
01000252003;1025;2014-03-19 12:34:29
01000252004;847;2014-03-19 12:34:29
01000252005;363;2014-03-19 12:34:29
01000254001;343;2014-03-19 12:34:29
01000254002;797;2014-03-19 12:34:29
01000254003;276;2014-03-19 12:34:29
01000254004;0;2014-03-19 12:34:29
01000254005;235;2014-03-19 12:34:29
01000254013;31;2014-03-19 12:34:29
01000255501;146;2014-03-19 12:34:29
01000255502;152;2014-03-19 12:34:29
01000255503;323;2014-03-19 12:34:29
01000255504;222;2014-03-19 12:34:29
01000255505;117;2014-03-19 12:34:29
01000260001;642;2014-03-19 12:34:29
01000260002;928;2014-03-19 12:34:29
01000260003;1127;2014-03-19 12:34:29
01000260004;840;2014-03-19 12:34:29
01000260005;226;2014-03-19 12:34:29
01000260013;96;2014-03-19 12:34:29
01000262001;680;2014-03-19 12:34:29
01000262002;1413;2014-03-19 12:34:29
01000262003;1612;2014-03-19 12:34:29
01000262004;1197;2014-03-19 12:34:29
01000262005;464;2014-03-19 12:34:29
01000262013;247;2014-03-19 12:34:29
01000267001;417;2014-03-19 12:34:29
01000267002;361;2014-03-19 12:34:29
01000267003;736;2014-03-19 12:34:29
01000267004;478;2014-03-19 12:34:29
01000267005;205;2014-03-19 12:34:29
01000273301;0;2014-03-19 12:34:29
01000273302;105;2014-03-19 12:34:29
01000273303;30;2014-03-19 12:34:29
01000273304;177;2014-03-19 12:34:29
01000273305;17;2014-03-19 12:34:29
01000274001;140;2014-03-19 12:34:29
01000274002;153;2014-03-19 12:34:29
01000274003;101;2014-03-19 12:34:29
01000274004;37;2014-03-19 12:34:29
01000274005;79;2014-03-19 12:34:29
01000274301;129;2014-03-19 12:34:29
01000274302;65;2014-03-19 12:34:29
01000274303;41;2014-03-19 12:34:29
01000274304;55;2014-03-19 12:34:29
01000274305;137;2014-03-19 12:34:29
01000274401;4;2014-03-19 12:34:29
01000274402;70;2014-03-19 12:34:29
01000274403;90;2014-03-19 12:34:29
01000274404;12;2014-03-19 12:34:29
01000274405;5;2014-03-19 12:34:29
